ID,Grupo,Año,Dia_Juliano,Fecha_Nacimiento,Entidad_Censal,Poblacion_Total,Hombres,Mujeres,Edad_Mediana_Total,Relacion_H_M,Indice_Envejecimiento_Total,Razon_Dependencia_Total,Razon_Dependencia_Infantil,Razon_Dependencia_Vejez
25,Eje_Norte_Guadalajara,1879,325,21/11/1879,Jalisco,8348151,4098455,4249696,29,96.44,47.49,50.66,38.21,12.46
26,Eje_Norte_Guadalajara,1880,338,04/12/1880,Jalisco,8348151,4098455,4249696,29,96.44,47.49,50.66,38.21,12.46
27,Eje_Este_Potosi,1881,14,14/01/1881,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
28,Eje_Este_Potosi,1882,27,27/01/1882,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
29,Eje_Este_Potosi,1883,40,09/02/1883,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
30,Eje_Este_Potosi,1884,53,22/02/1884,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
31,Eje_Este_Potosi,1885,66,07/03/1885,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
32,Eje_Este_Potosi,1886,79,20/03/1886,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
33,Eje_Este_Potosi,1887,92,02/04/1887,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
34,Eje_Este_Potosi,1888,105,15/04/1888,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
35,Eje_Este_Potosi,1889,118,28/04/1889,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
36,Eje_Este_Potosi,1890,131,11/05/1890,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
37,Eje_Este_Potosi,1891,144,24/05/1891,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
38,Eje_Este_Potosi,1892,157,05/06/1892,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
39,Eje_Este_Potosi,1893,170,19/06/1893,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
40,Eje_Este_Potosi,1894,183,02/07/1894,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
41,Eje_Este_Potosi,1895,196,15/07/1895,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
42,Eje_Este_Potosi,1896,209,28/07/1896,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
43,Eje_Este_Potosi,1897,222,10/08/1897,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
44,Eje_Este_Potosi,1898,235,23/08/1898,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
45,Eje_Este_Potosi,1899,248,05/09/1899,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
46,Eje_Este_Potosi,1900,261,18/09/1900,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
47,Eje_Este_Potosi,1901,274,01/10/1901,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
48,Eje_Este_Potosi,1902,287,14/10/1902,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
49,Eje_Este_Potosi,1903,300,27/10/1903,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
50,Eje_Este_Potosi,1904,313,09/11/1904,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
51,Eje_Este_Potosi,1905,326,22/11/1905,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
52,Eje_Este_Potosi,1906,339,05/12/1906,San Luis Potosí,2822255,1372451,1449804,29,94.66,49.78,53.29,39.48,13.8
53,Eje_Oeste_Concepcion,1907,15,15/01/1907,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
54,Eje_Oeste_Concepcion,1908,28,28/01/1908,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
55,Eje_Oeste_Concepcion,1909,41,10/02/1909,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
56,Eje_Oeste_Concepcion,1910,54,23/02/1910,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
57,Eje_Oeste_Concepcion,1911,67,08/03/1911,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
58,Eje_Oeste_Concepcion,1912,80,21/03/1912,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
59,Eje_Oeste_Concepcion,1913,93,03/04/1913,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
60,Eje_Oeste_Concepcion,1914,106,16/04/1914,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
61,Eje_Oeste_Concepcion,1915,119,29/04/1915,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
62,Eje_Oeste_Concepcion,1916,132,11/05/1916,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
63,Eje_Oeste_Concepcion,1917,145,25/05/1917,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
64,Eje_Oeste_Concepcion,1918,158,07/06/1918,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
65,Eje_Oeste_Concepcion,1919,171,20/06/1919,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
66,Eje_Oeste_Concepcion,1920,184,02/07/1920,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
67,Eje_Oeste_Concepcion,1921,197,16/07/1921,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
68,Eje_Oeste_Concepcion,1922,210,29/07/1922,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
69,Eje_Oeste_Concepcion,1923,223,11/08/1923,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
70,Eje_Oeste_Concepcion,1924,236,24/08/1924,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
71,Eje_Oeste_Concepcion,1925,249,06/09/1925,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
72,Eje_Oeste_Concepcion,1926,262,19/09/1926,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
73,Eje_Oeste_Concepcion,1927,275,02/10/1927,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
74,Eje_Oeste_Concepcion,1928,288,14/10/1928,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
75,Eje_Oeste_Concepcion,1929,301,28/10/1929,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
76,Eje_Oeste_Concepcion,1930,314,10/11/1930,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
77,Eje_Oeste_Concepcion,1931,327,23/11/1931,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
78,Eje_Oeste_Concepcion,1932,340,06/12/1932,Colima,731391,360622,370769,30,97.26,52.87,47.51,35.02,12.49
79,Eje_Sur_Bariloche,1933,16,16/01/1933,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
80,Eje_Sur_Bariloche,1934,29,29/01/1934,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
81,Eje_Sur_Bariloche,1935,42,11/02/1935,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
82,Eje_Sur_Bariloche,1936,55,24/02/1936,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
83,Eje_Sur_Bariloche,1937,68,09/03/1937,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
84,Eje_Sur_Bariloche,1938,81,22/03/1938,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
85,Eje_Sur_Bariloche,1939,94,04/04/1939,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
86,Eje_Sur_Bariloche,1940,107,17/04/1940,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
87,Eje_Sur_Bariloche,1941,120,30/04/1941,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
88,Eje_Sur_Bariloche,1942,133,13/05/1942,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
89,Eje_Sur_Bariloche,1943,146,26/05/1943,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
90,Eje_Sur_Bariloche,1944,159,08/06/1944,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
91,Eje_Sur_Bariloche,1945,172,21/06/1945,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
92,Eje_Sur_Bariloche,1946,185,04/07/1946,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
93,Eje_Sur_Bariloche,1947,198,17/07/1947,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
94,Eje_Sur_Bariloche,1948,211,30/07/1948,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
95,Eje_Sur_Bariloche,1949,224,13/08/1949,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
96,Eje_Sur_Bariloche,1950,237,25/08/1950,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
97,Eje_Sur_Bariloche,1951,250,07/09/1951,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
98,Eje_Sur_Bariloche,1952,263,20/09/1952,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
99,Eje_Sur_Bariloche,1953,276,03/10/1953,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
100,Eje_Sur_Bariloche,1954,289,16/10/1954,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
101,Eje_Sur_Bariloche,1955,302,29/10/1955,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
102,Eje_Sur_Bariloche,1956,315,11/11/1956,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
103,Eje_Sur_Bariloche,1957,328,24/11/1957,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
104,Eje_Sur_Bariloche,1958,341,07/12/1958,Chiapas,5543828,2705947,2837881,24,95.35,28.69,62.38,52.11,10.28
105,Centro_Arbol,1959,7,07/01/1959,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
106,Centro_Arbol,1960,14,14/01/1960,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
107,Centro_Arbol,1961,19,19/01/1961,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
108,Centro_Arbol,1962,21,21/01/1962,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
109,Centro_Arbol,1963,28,28/01/1963,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
110,Centro_Arbol,1964,35,04/02/1964,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
111,Centro_Arbol,1965,38,07/02/1965,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
112,Centro_Arbol,1966,42,11/02/1966,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
113,Centro_Arbol,1967,49,18/02/1967,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
114,Centro_Arbol,1968,56,25/02/1968,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
115,Centro_Arbol,1969,57,26/02/1969,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
116,Centro_Arbol,1970,63,04/03/1970,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
117,Centro_Arbol,1971,70,11/03/1971,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
118,Centro_Arbol,1972,76,17/03/1972,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
119,Centro_Arbol,1973,77,18/03/1973,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
120,Centro_Arbol,1974,84,25/03/1974,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
121,Centro_Arbol,1975,91,01/04/1975,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
122,Centro_Arbol,1976,95,05/04/1976,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
123,Centro_Arbol,1977,98,08/04/1977,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
124,Centro_Arbol,1978,105,15/04/1978,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
125,Centro_Arbol,1979,112,22/04/1979,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
126,Centro_Arbol,1980,114,24/04/1980,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
127,Centro_Arbol,1981,119,29/04/1981,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
128,Centro_Arbol,1982,126,06/05/1982,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
129,Centro_Arbol,1983,133,13/05/1983,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
130,Centro_Arbol,1984,140,20/05/1984,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
131,Centro_Arbol,1985,147,27/05/1985,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
132,Centro_Arbol,1986,152,01/06/1986,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
133,Centro_Arbol,1987,154,03/06/1987,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
134,Centro_Arbol,1988,161,10/06/1988,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
135,Centro_Arbol,1989,168,17/06/1989,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
136,Centro_Arbol,1990,171,20/06/1990,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
137,Centro_Arbol,1991,175,24/06/1991,Ciudad de México,9209944,4404927,4805017,35,91.67,90.25,40.99,25.33,15.66
138,Ajustes_Residuo,1992,5,05/01/1992,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
139,Ajustes_Residuo,1993,10,10/01/1993,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
140,Ajustes_Residuo,1994,15,15/01/1994,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
141,Ajustes_Residuo,1995,20,20/01/1995,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
142,Ajustes_Residuo,1996,25,25/01/1996,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
143,Ajustes_Residuo,1997,30,30/01/1997,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
144,Ajustes_Residuo,1998,35,04/02/1998,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
145,Ajustes_Residuo,1999,40,09/02/1999,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
146,Ajustes_Residuo,2000,45,14/02/2000,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
147,Ajustes_Residuo,2001,50,19/02/2001,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
148,Ajustes_Residuo,2002,55,24/02/2002,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
149,Ajustes_Residuo,2003,60,01/03/2003,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
150,Ajustes_Residuo,2004,65,05/03/2004,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
151,Ajustes_Residuo,2005,70,11/03/2005,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
152,Ajustes_Residuo,2006,75,16/03/2006,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
153,Ajustes_Residuo,2007,80,21/03/2007,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
154,Ajustes_Residuo,2008,85,25/03/2008,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
155,Ajustes_Residuo,2009,90,31/03/2009,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
156,Ajustes_Residuo,2010,95,05/04/2010,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
157,Ajustes_Residuo,2011,100,10/04/2011,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
158,Ajustes_Residuo,2012,105,15/04/2012,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
159,Ajustes_Residuo,2013,110,20/04/2013,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
160,Ajustes_Residuo,2014,115,25/04/2014,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
161,Ajustes_Residuo,2015,120,30/04/2015,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
162,Ajustes_Residuo,2016,125,05/05/2016,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
163,Ajustes_Residuo,2017,130,10/05/2017,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
164,Ajustes_Residuo,2018,135,15/05/2018,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
165,Ajustes_Residuo,2019,140,20/05/2019,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
166,Ajustes_Residuo,2020,145,25/05/2020,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
167,Ajustes_Residuo,2021,150,30/05/2021,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
168,Ajustes_Residuo,2022,155,05/06/2022,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
169,Ajustes_Residuo,2023,160,10/06/2023,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
170,Ajustes_Residuo,2024,165,15/06/2024,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
171,Ajustes_Residuo,2025,170,20/06/2025,Oaxaca,4132148,1974843,2157305,28,91.54,48.0,59.74,44.44,15.3
